time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,epochs,batch_size,train_second,first_loss,last_loss,test_loss,r2_score,train_ration,total_params
2026-09-07 14:37:53,keras19_overfit1_california.py,"(14447, 8)",30956,sequential,Dense 13 -> 38 -> 27 -> 19 -> 7 -> 1,mse,adam,5,128,1.4273,4641.4345703125,126.36676025390625,111.51422119140625,-81.73577486455413,0.7,2382
2026-09-07 14:40:47,keras19_overfit1_california.py,"(14447, 8)",30956,sequential,Dense 13 -> 38 -> 27 -> 19 -> 7 -> 1,mse,adam,5,128,1.5881,61195.3203125,72.8469009399414,65.80455017089844,-47.82237616427639,0.7,2382
2026-09-07 14:40:56,keras19_overfit1_california.py,"(14447, 8)",30956,sequential,Dense 13 -> 38 -> 27 -> 19 -> 7 -> 1,mse,adam,5,128,1.43,2338.607666015625,4.933877468109131,7.351217269897461,-4.4540899023754275,0.7,2382
2026-09-07 14:57:15,keras19_overfit1_california.py,"(14447, 8)",30956,sequential,Dense 13 -> 38 -> 27 -> 19 -> 7 -> 1,mse,adam,5,128,1.4676,1571.67822265625,27.440427780151367,116.16150665283203,-85.18371723527922,0.7,2382
2026-09-07 14:57:40,keras19_overfit1_california.py,"(14447, 8)",30956,sequential,Dense 13 -> 38 -> 27 -> 19 -> 7 -> 1,mse,adam,5,128,1.4412,2570.804443359375,11.459051132202148,10.403145790100098,-6.718410611436751,0.7,2382
2026-09-07 14:58:03,keras19_overfit1_california.py,"(14447, 8)",30956,sequential,Dense 13 -> 38 -> 27 -> 19 -> 7 -> 1,mse,adam,5,128,1.4598,3531.010986328125,6.305304527282715,5.641801834106445,-3.1858229414425008,0.7,2382
2026-09-07 14:58:27,keras19_overfit1_california.py,"(14447, 8)",30956,sequential,Dense 13 -> 38 -> 27 -> 19 -> 7 -> 1,mse,adam,5,128,1.4595,133164.875,119.11854553222656,84.88916015625,-61.98182085089788,0.7,2382
2026-09-07 14:59:54,keras19_overfit1_california.py,"(14447, 8)",30956,sequential,Dense 13 -> 38 -> 27 -> 19 -> 7 -> 1,mse,adam,500,128,68.5935,3145.89794921875,0.6420082449913025,0.6453524231910706,0.5211935524411306,0.7,2382
2026-09-07 15:04:56,keras19_overfit1_california.py,"(14447, 8)",30956,sequential,Dense 13 -> 38 -> 27 -> 19 -> 7 -> 1,mse,adam,500,128,67.9893,11693.3037109375,0.642959713935852,0.648185133934021,0.5190918572210341,0.7,2382
2026-09-07 15:07:07,keras19_overfit1_california.py,"(14447, 8)",30956,sequential,Dense 13 -> 38 -> 27 -> 19 -> 7 -> 1,mse,adam,150,128,20.9657,2084.35693359375,0.7286879420280457,0.698258638381958,0.48194089590352773,0.7,2382
2026-09-07 15:12:26,keras19_overfit1_california.py,"(14447, 8)",30956,sequential,Dense 13 -> 38 -> 27 -> 19 -> 7 -> 1,mse,adam,10,128,2.1103,5202.44482421875,5.429452419281006,4.815768718719482,-2.5729640290482885,0.7,2382
2026-09-07 15:14:26,keras19_overfit1_california.py,"(14447, 8)",30956,sequential,Dense 13 -> 38 -> 27 -> 19 -> 7 -> 1,mse,adam,10,128,2.0443,3615.090087890625,3.607492685317993,7.29020357131958,-4.408820711050865,0.7,2382
2026-09-07 15:15:00,keras19_overfit1_california.py,"(14447, 8)",30956,sequential,Dense 13 -> 38 -> 27 -> 19 -> 7 -> 1,mse,adam,10,128,2.1571,861.1995849609375,2.828798532485962,1.2871694564819336,0.045010125647302,0.7,2382
2026-09-07 15:16:13,keras19_overfit1_california.py,"(14447, 8)",30956,sequential,Dense 13 -> 38 -> 27 -> 19 -> 7 -> 1,mse,adam,10,128,2.149,8670.2958984375,34.11742401123047,11.64716625213623,-7.6413864809332726,0.7,2382
2026-09-07 15:16:49,keras19_overfit1_california.py,"(14447, 8)",30956,sequential,Dense 13 -> 38 -> 27 -> 19 -> 7 -> 1,mse,adam,10,128,2.2072,38808.25390625,2.6148133277893066,10.492207527160645,-6.784487131465807,0.7,2382
2026-09-07 15:18:29,keras19_overfit1_california.py,"(14447, 8)",30956,sequential,Dense 13 -> 38 -> 27 -> 19 -> 7 -> 1,mse,adam,10,128,2.0864,16639.046875,2.521486759185791,2.688382148742676,-0.994592192891159,0.7,2382
2026-09-07 15:19:35,keras19_overfit1_california.py,"(14447, 8)",30956,sequential,Dense 13 -> 38 -> 27 -> 19 -> 7 -> 1,mse,adam,100,128,14.3926,4189.5693359375,1.2457189559936523,0.9701420068740845,0.2802222837373788,0.7,2382
2026-09-07 15:20:18,keras19_overfit1_california.py,"(14447, 8)",30956,sequential,Dense 13 -> 38 -> 27 -> 19 -> 7 -> 1,mse,adam,100,128,14.0452,51388.13671875,1.3262264728546143,16.316593170166016,-11.105773924866812,0.7,2382
2026-09-07 15:21:26,keras19_overfit1_california.py,"(14447, 8)",30956,sequential,Dense 13 -> 38 -> 27 -> 19 -> 7 -> 1,mse,adam,100,128,13.9494,4607.9267578125,1.2195186614990234,0.6692526340484619,0.5034613302797357,0.7,2382
2026-09-07 15:22:11,keras19_overfit1_california.py,"(14447, 8)",30956,sequential,Dense 13 -> 38 -> 27 -> 19 -> 7 -> 1,mse,adam,100,128,14.1066,2219.02490234375,1.954451560974121,0.7910344004631042,0.41310776356194656,0.7,2382
2026-09-07 15:22:52,keras19_overfit1_california.py,"(14447, 8)",30956,sequential,Dense 13 -> 38 -> 27 -> 19 -> 7 -> 1,mse,adam,100,128,14.1269,5912.2646484375,0.7536571025848389,0.7784334421157837,0.4224564547158046,0.7,2382
