time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,epochs,batch_size,train_second,first_loss,last_loss,test_loss,r2_score,train_ration,total_params
2026-09-11 14:05:24,keras28_Scaler06_cancer.py,"(455, 30)",10425,sequential,Dense 16 -> 32(relu) -> 128(relu) -> 64 -> 64(relu) -> 128(relu) -> 64(relu) -> 32 -> 16 -> 1(sigmoid),binary_crossentropy,adam,38,8,5.4337,0.1320042908191681,0.326731413602829,"[0.23506096005439758, 0.9824561476707458]",0.9824561403508771,0.8,36881
2026-09-08 11:34:29,keras21_sigmoid_metrics_cancer.py,"(455, 30)",8674,sequential,Dense 16 -> 16 -> 16 -> 1,mse,adam,297,4,37.58,487.8575439453125,0.18121236562728882,0.07395593822002411,0.6788735389709473,0.7,1057
2026-09-08 13:32:43,keras21_sigmoid_metrics_cancer.py,"(455, 30)",273146,sequential,Dense 16(relu) -> 16 -> 16 -> 1(sigmoid),binary_crossentropy,adam,85,4,11.3218,23.691967010498047,0.21465450525283813,0.11048135161399841,,0.8,1057
2026-09-08 13:34:39,keras21_sigmoid_metrics_cancer.py,"(455, 30)",273146,sequential,Dense 16(relu) -> 16 -> 16 -> 1(sigmoid),binary_crossentropy,adam,24,4,3.499,1.037834644317627,0.23643946647644043,0.1745864450931549,,0.8,1057
2026-09-08 13:37:55,keras21_sigmoid_metrics_cancer.py,"(455, 30)",273146,sequential,Dense 16(relu) -> 16 -> 16 -> 16 -> 16 -> 16 -> 16 -> 16 -> 16 -> 1(sigmoid),binary_crossentropy,adam,63,4,9.9236,1.6803655624389648,0.16020992398262024,0.1587066948413849,,0.8,2689
2026-09-08 13:44:27,keras21_sigmoid_metrics_cancer.py,"(455, 30)",273146,sequential,Dense 16(relu) -> 16 -> 16 -> 16 -> 16 -> 16 -> 16 -> 16 -> 16 -> 1(sigmoid),binary_crossentropy,adam,31,4,5.6727,3.6700258255004883,0.23520156741142273,"[0.17621229588985443, 0.9385964870452881]",,0.8,2689
2026-09-08 13:45:31,keras21_sigmoid_metrics_cancer.py,"(455, 30)",273146,sequential,Dense 16(relu) -> 16 -> 16 -> 16 -> 16 -> 16 -> 16 -> 16 -> 16 -> 1(sigmoid),binary_crossentropy,adam,30,4,5.5714,2.1793441772460938,0.2090180516242981,"[0.1471325010061264, 0.9473684430122375]",,0.8,2689
2026-09-08 14:29:07,keras21_sigmoid_metrics_cancer.py,"(455, 30)",273146,sequential,Dense 16(relu) -> 32(relu) -> 128(relu) -> 64(relu) -> 64(relu) -> 128(relu) -> 64(relu) -> 32(relu) -> 16(relu) -> 1(sigmoid),binary_crossentropy,adam,25,4,5.0372,0.4550485610961914,0.19703808426856995,"[0.16904640197753906, 0.9210526347160339]",,0.8,36881
2026-09-08 14:29:43,keras21_sigmoid_metrics_cancer.py,"(455, 30)",273146,sequential,Dense 16(relu) -> 32(relu) -> 128(relu) -> 64 -> 64(relu) -> 128(relu) -> 64(relu) -> 32 -> 16(relu) -> 1(sigmoid),binary_crossentropy,adam,20,4,4.238,1.2582147121429443,0.2370224893093109,"[0.15228506922721863, 0.9473684430122375]",,0.8,36881
2026-09-08 14:30:25,keras21_sigmoid_metrics_cancer.py,"(455, 30)",273146,sequential,Dense 16(relu) -> 32(relu) -> 128(relu) -> 64 -> 64(relu) -> 128(relu) -> 64(relu) -> 32 -> 16(relu) -> 1(sigmoid),binary_crossentropy,adam,29,4,5.6017,1.0156874656677246,0.21563628315925598,"[0.15749594569206238, 0.9473684430122375]",,0.8,36881
2026-09-08 14:31:32,keras21_sigmoid_metrics_cancer.py,"(455, 30)",273146,sequential,Dense 16(relu) -> 32(relu) -> 128(relu) -> 64 -> 64(relu) -> 128(relu) -> 64(relu) -> 32 -> 16 -> 1(sigmoid),binary_crossentropy,adam,24,4,4.8178,1.8225197792053223,0.24221833050251007,"[0.16325798630714417, 0.9473684430122375]",,0.8,36881
2026-09-08 14:32:00,keras21_sigmoid_metrics_cancer.py,"(455, 30)",273146,sequential,Dense 16(relu) -> 32(relu) -> 128(relu) -> 64 -> 64(relu) -> 128(relu) -> 64(relu) -> 32 -> 16 -> 1(sigmoid),binary_crossentropy,adam,19,4,4.1433,2.0543177127838135,0.2095871865749359,"[0.1738182008266449, 0.9561403393745422]",,0.8,36881
2026-09-08 14:32:28,keras21_sigmoid_metrics_cancer.py,"(455, 30)",273146,sequential,Dense 16 -> 32(relu) -> 128(relu) -> 64 -> 64(relu) -> 128(relu) -> 64(relu) -> 32 -> 16 -> 1(sigmoid),binary_crossentropy,adam,23,4,4.6598,1.1836521625518799,0.2432870715856552,"[0.16447816789150238, 0.9561403393745422]",,0.8,36881
2026-09-08 14:33:03,keras21_sigmoid_metrics_cancer.py,"(455, 30)",273146,sequential,Dense 16 -> 32(relu) -> 128(relu) -> 64 -> 64(relu) -> 128(relu) -> 64(relu) -> 32 -> 16 -> 1(sigmoid),binary_crossentropy,adam,65,4,10.7334,1.1313459873199463,0.3579450249671936,"[0.1445683389902115, 0.9649122953414917]",,0.8,36881
2026-09-08 14:34:25,keras21_sigmoid_metrics_cancer.py,"(455, 30)",273146,sequential,Dense 16 -> 32(relu) -> 128(relu) -> 64 -> 64(relu) -> 128(relu) -> 64(relu) -> 32 -> 16 -> 1(sigmoid),binary_crossentropy,adam,839,16,68.9681,2.156261444091797,0.11388365924358368,"[0.09164523333311081, 0.9561403393745422]",,0.8,36881
