time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,epochs,batch_size,train_second,first_loss,last_loss,test_loss,r2_score,train_ration,total_params
2026-09-16 16:04:51,keras36_cnn6_cifa100.py,"(50000, 32, 32, 3)",0,sequential,Conv2D 32[3x3](relu) -> Dropout (0.2) -> Conv2D 64[2x2](relu) -> Dropout (0.3) -> Conv2D 32[2x2](relu) -> Dropout (0.2) -> Conv2D 32[2x2](relu) -> 16[2x2](relu) -> Dropout (0.2) -> Flatten 10816 -> Dense 256(relu) -> 64(relu) -> Dropout (0.2) -> Dense 16(relu) -> 100(softmax),categorical_crossentropy,Adam,65,256,259.2587,4.294905662536621,6.029452323913574,"[3.1700186729431152, 0.24289999902248383]",0.2429,0,2811908
2026-09-16 16:09:05,keras36_cnn6_cifa100.py,"(50000, 32, 32, 3)",0,sequential,Conv2D 32[3x3](relu) -> 64[2x2](relu) -> 32[2x2](relu) -> Dropout (0.2) -> Conv2D 32[2x2](relu) -> Dropout (0.2) -> Conv2D 16[2x2](relu) -> Dropout (0.2) -> Flatten 10816 -> Dense 256(relu) -> Dropout (0.3) -> Dense 64(relu) -> Dropout (0.2) -> Dense 16(relu) -> 100(softmax),categorical_crossentropy,Adam,70,256,245.0778,4.373010158538818,3.795607328414917,"[3.052016019821167, 0.2639000117778778]",0.2639,0,2811908
2026-09-16 16:17:27,keras36_cnn6_cifa100.py,"(50000, 32, 32, 3)",0,sequential,Conv2D 32[3x3](relu) -> 64[2x2](relu) -> 32[2x2](relu) -> Dropout (0.2) -> Conv2D 32[2x2](relu) -> Dropout (0.2) -> Conv2D 16[2x2](relu) -> Dropout (0.2) -> Flatten 10816 -> Dense 256(relu) -> Dropout (0.3) -> Dense 64(relu) -> Dropout (0.2) -> Dense 16(relu) -> 100(softmax),categorical_crossentropy,Adam,66,256,229.663,4.361377716064453,3.6960484981536865,"[2.9910242557525635, 0.26269999146461487]",0.2627,0,2811908
2026-09-16 16:23:42,keras36_cnn6_cifa100.py,"(50000, 32, 32, 3)",0,sequential,Conv2D 64[3x3](relu) -> 64[2x2](relu) -> 32[2x2](relu) -> Dropout (0.2) -> Conv2D 32[2x2](relu) -> Dropout (0.2) -> Conv2D 64[2x2](relu) -> Dropout (0.2) -> Flatten 43264 -> Dense 256(relu) -> Dropout (0.3) -> Dense 64(relu) -> Dropout (0.2) -> Dense 16(relu) -> 100(softmax),categorical_crossentropy,Adam,62,256,349.3583,4.404961109161377,4.280628681182861,"[2.983097553253174, 0.28299999237060547]",0.283,0,11133876
2026-09-16 16:49:11,keras36_cnn6_cifa100.py,"(50000, 32, 32, 3)",0,sequential,Conv2D 64[3x3](relu) -> 128[2x2](relu) -> 128[2x2](relu) -> Dropout (0.2) -> Conv2D 256[2x2](relu) -> Dropout (0.2) -> Conv2D 256[2x2](relu) -> Dropout (0.2) -> Flatten 173056 -> Dense 256(relu) -> Dropout (0.3) -> Dense 64(relu) -> Dropout (0.2) -> Dense 16(relu) -> 100(softmax),categorical_crossentropy,Adam,59,256,1489.6328,4.311739444732666,4.312962055206299,"[3.026301145553589, 0.25029999017715454]",0.2503,0,44815860
2026-09-16 17:03:43,keras36_cnn6_cifa100.py,"(50000, 32, 32, 3)",0,sequential,Conv2D 64[3x3](relu) -> 128[2x2](relu) -> 64[2x2](relu) -> Dropout (0.3) -> Conv2D 256[2x2](relu) -> Dropout (0.3) -> Flatten 186624 -> Dense 128(relu) -> Dropout (0.3) -> Dense 64(relu) -> Dropout (0.2) -> Dense 32(relu) -> 100(softmax),categorical_crossentropy,Adam,65,256,785.6591,4.315766334533691,4.0480217933654785,"[3.0852489471435547, 0.2443999946117401]",0.2444,0,24034948
2026-09-16 17:35:32,keras36_cnn6_cifa100.py,"(50000, 32, 32, 3)",0,sequential,Conv2D 64[3x3](relu) -> 128[2x2](relu) -> 64[2x2](relu) -> Dropout (0.3) -> Conv2D 256[2x2](relu) -> Dropout (0.3) -> Flatten 186624 -> Dense 128(relu) -> Dropout (0.3) -> Dense 64(relu) -> Dropout (0.2) -> Dense 32(relu) -> 100(softmax),categorical_crossentropy,Adam,63,256,761.6332,4.224495887756348,3.9405081272125244,"[2.971937417984009, 0.27000001072883606]",0.27,0,24034948
2026-09-17 09:56:43,keras39_Maxpooling4_cifa100.py,"(50000, 32, 32, 3)",0,sequential,Conv2D 64[3x3] -> 128[2x2] -> MaxPooling2D 128 -> Conv2D 64[2x2](relu) -> Dropout (0.3) -> Conv2D 256[2x2](relu) -> Dropout (0.3) -> MaxPooling2D 256 -> Conv2D 64[2x2](relu) -> Dropout (0.3) -> Flatten 1600 -> Dense 128(relu) -> Dropout (0.3) -> Dense 64(relu) -> Dropout (0.2) -> Dense 32(relu) -> 100(softmax),categorical_crossentropy,Adam,266,256,1212.6449,4.249802112579346,1.9410964250564575,1.932371735572815,0.4919,0,417476
2026-09-17 10:18:03,keras39_Maxpooling4_cifa100.py,"(50000, 32, 32, 3)",0,sequential,Conv2D 64[3x3] -> 128[2x2] -> MaxPooling2D 128 -> Conv2D 64[2x2](relu) -> Dropout (0.3) -> Conv2D 256[2x2](relu) -> Dropout (0.2) -> MaxPooling2D 256 -> Conv2D 64[2x2](relu) -> Dropout (0.3) -> Flatten 1600 -> Dense 128(relu) -> Dropout (0.3) -> Dense 64(relu) -> Dropout (0.2) -> Dense 32(relu) -> 100(softmax),categorical_crossentropy,Adam,266,256,1166.3558,4.2151899337768555,2.0202696323394775,1.9716523885726929,0.4871,0,417476
2026-09-17 11:11:25,keras39_Maxpooling4_cifa100.py,"(50000, 32, 32, 3)",0,sequential,Conv2D 64[3x3] -> 128[2x2] -> MaxPooling2D 128 -> Conv2D 64[2x2](relu) -> Dropout (0.3) -> Conv2D 256[2x2](relu) -> Dropout (0.2) -> MaxPooling2D 256 -> Conv2D 64[2x2](relu) -> Dropout (0.3) -> Flatten 1600 -> Dense 128(relu) -> Dropout (0.3) -> Dense 64(relu) -> Dropout (0.2) -> Dense 32(relu) -> 100(softmax),categorical_crossentropy,Adam,286,256,1267.1833,4.204338550567627,1.9981119632720947,1.9383617639541626,0.4952,0,417476
