time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,epochs,batch_size,train_second,first_loss,last_loss,test_loss,r2_score,train_ration,total_params
2026-09-11 13:50:08,keras28_Scaler04_ddarung.py,"(1021, 9)",858,sequential,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam,67,128,4.8732,20252.78125,2934.752197265625,2810.50048828125,0.5941501851066837,0.7,10609
2026-09-11 13:50:30,keras28_Scaler04_ddarung.py,"(1021, 9)",858,sequential,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam,58,128,4.3465,20240.6015625,2958.212646484375,2830.787353515625,0.5912206559384627,0.7,10609
2026-09-07 13:39:09,keras17_val4_ddarung.py,"(1021, 9)",858,sequential,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam,700,8,103.47,13163.623046875,2704.00341796875,3222.84326171875,0.5346058613179359,0.7,10609
2026-09-07 16:14:40,keras19_overfit4_ddarung.py,"(1021, 9)",858,sequential,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam,700,8,103.268,7873.31884765625,2707.440673828125,3054.9677734375,0.5588478838380262,0.7,10609
2026-09-11 15:18:24,keras28_Scaler04_ddarung.py,"(1021, 9)",858,sequential,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam,116,128,7.8949,20135.142578125,2977.982177734375,2815.312255859375,0.5934553225851491,0.7,10609
2026-09-11 16:25:04,keras28_Scaler04_ddarung.py,"(1021, 9)",858,sequential,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam,51,128,5.4838,20219.015625,2947.318603515625,2836.33935546875,0.590418902720296,0.7,10609
2026-09-14 13:57:17,keras31_MCP_save_04_ddarung.py,"(1021, 9)",858,sequential,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam,56,128,5.312,20087.017578125,2989.869140625,2827.570556640625,0.5916851238271059,0.7,10609
2026-09-14 17:23:51,keras34_hamsu04_ddarung.py,"(1021, 9)",858,functional,InputLayer -> Dense 64 -> Dropout (0.3) -> Dense 16(relu) -> 32 -> Dropout (0.3) -> Dense 64 -> Dropout (0.3) -> Dense 64 -> Dropout (0.3) -> Dense 32 -> Dropout (0.3) -> Dense 1,mse,adam,90,128,7.8132,20156.947265625,2842.730224609375,2612.60595703125,0.6227270914697172,0.7,10609
2026-09-15 13:30:52,keras35_gpu04_ddarung.py,"(1021, 9)",858,sequential,Dense 64 -> Dropout (0.3) -> Dense 16 -> 32 -> Dropout (0.3) -> Dense 64 -> Dropout (0.3) -> Dense 64 -> Dropout (0.3) -> Dense 32 -> Dropout (0.3) -> Dense 1,mse,Adam,55,128,3.1781,20192.96875,3152.72412109375,2843.800537109375,0.5893414797959289,0.7,10609
2026-09-15 13:31:24,keras35_gpu04_ddarung.py,"(1021, 9)",858,sequential,Dense 64 -> Dropout (0.3) -> Dense 16 -> 32 -> Dropout (0.3) -> Dense 64 -> Dropout (0.3) -> Dense 64 -> Dropout (0.3) -> Dense 32 -> Dropout (0.3) -> Dense 1,mse,adam,77,128,6.4527,20225.81640625,2990.409912109375,2842.283935546875,0.5895604875983314,0.7,10609
