time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,epochs,batch_size,train_second,first loss,last loss,test_loss,r2_score
2026-09-03 15:01:18,repeat_random_states.py,"(1021, 10)",0,sequential,Dense 64 -> 64 -> 64 -> 1,mse,adam,50,256,1.8047,68196.171875,5317.689453125,5399.310546875,0.18474584450925124
2026-09-03 15:01:20,repeat_random_states.py,"(1021, 10)",0,sequential,Dense 64 -> 64 -> 64 -> 1,mse,adam,50,256,1.4454,5295.3828125,3315.173583984375,3339.968505859375,0.4956905605722228
2026-09-03 15:01:21,repeat_random_states.py,"(1021, 10)",0,sequential,Dense 64 -> 64 -> 64 -> 1,mse,adam,50,256,1.3346,3481.7421875,3241.89453125,3310.3193359375,0.5001673484485205
2026-09-03 15:01:23,repeat_random_states.py,"(1021, 10)",1,sequential,Dense 64 -> 64 -> 64 -> 1,mse,adam,50,256,1.4299,3236.597412109375,3022.0712890625,2673.638916015625,0.564431835502742
2026-09-03 15:01:24,repeat_random_states.py,"(1021, 10)",1,sequential,Dense 64 -> 64 -> 64 -> 1,mse,adam,50,256,1.5006,3007.840087890625,3010.44921875,2660.10205078125,0.5666371479600888
2026-09-03 15:01:26,repeat_random_states.py,"(1021, 10)",1,sequential,Dense 64 -> 64 -> 64 -> 1,mse,adam,50,256,1.3867,2966.756591796875,2955.710693359375,2720.986083984375,0.5567184556460454
2026-09-03 15:01:28,repeat_random_states.py,"(1021, 10)",2,sequential,Dense 64 -> 64 -> 64 -> 1,mse,adam,50,256,1.4863,2972.434326171875,2940.212890625,2675.37890625,0.6016115640776034
2026-09-03 15:01:29,repeat_random_states.py,"(1021, 10)",2,sequential,Dense 64 -> 64 -> 64 -> 1,mse,adam,50,256,1.4589,2874.9296875,3027.66796875,2773.1435546875,0.5870535504454824
2026-09-03 15:01:31,repeat_random_states.py,"(1021, 10)",2,sequential,Dense 64 -> 64 -> 64 -> 1,mse,adam,50,256,1.4407,2927.728759765625,2976.6630859375,2663.727783203125,0.6033465959533035
2026-09-03 15:01:32,repeat_random_states.py,"(1021, 10)",3,sequential,Dense 64 -> 64 -> 64 -> 1,mse,adam,50,256,1.4134,3091.55908203125,3094.856201171875,2780.3701171875,0.6051281389258261
2026-09-03 15:01:34,repeat_random_states.py,"(1021, 10)",3,sequential,Dense 64 -> 64 -> 64 -> 1,mse,adam,50,256,1.6771,2915.892822265625,2952.867919921875,2575.795654296875,0.6341821110863528
