time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,epochs,batch_size,train_second,first_loss,last_loss,test_loss,r2_score,train_ration
2026-09-04 13:15:35,multi_repeat_random_states.py,"(1021, 9)",168,sequential,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam,50,256,2.3575,20287.173828125,3731.8359375,3504.457763671875,0.495195946908878,0.7
2026-09-04 13:15:35,multi_repeat_random_states.py,"(1021, 9)",84,sequential,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam,50,256,2.3575,41251.8125,3743.282958984375,3577.7568359375,0.45760356941431,0.7
2026-09-04 13:15:35,multi_repeat_random_states.py,"(1021, 9)",0,sequential,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam,50,256,2.3974,59197.97265625,3671.188232421875,3754.535888671875,0.4330940893563563,0.7
2026-09-04 13:15:36,multi_repeat_random_states.py,"(1021, 9)",84,sequential,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam,50,256,1.4764,3602.8134765625,3134.922607421875,2932.881591796875,0.5553681874680149,0.7
2026-09-04 13:15:36,multi_repeat_random_states.py,"(1021, 9)",168,sequential,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam,50,256,1.4938,3491.434326171875,2917.728515625,2973.455810546875,0.5716847945515646,0.7
2026-09-04 13:15:36,multi_repeat_random_states.py,"(1021, 9)",0,sequential,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam,50,256,1.4898,3700.48486328125,3323.001953125,2707.35986328125,0.5912095440891465,0.7
2026-09-04 13:15:38,multi_repeat_random_states.py,"(1021, 9)",168,sequential,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam,50,256,1.4658,3125.7529296875,2920.521728515625,3242.747314453125,0.5328943037661067,0.7
2026-09-04 13:15:38,multi_repeat_random_states.py,"(1021, 9)",84,sequential,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam,50,256,1.4923,3120.574462890625,2940.415283203125,2649.751708984375,0.5982913650752127,0.7
2026-09-04 13:15:38,multi_repeat_random_states.py,"(1021, 9)",0,sequential,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam,50,256,1.4959,3613.87353515625,2946.223876953125,2687.787109375,0.5941649299468725,0.7
2026-09-04 13:15:40,multi_repeat_random_states.py,"(1021, 9)",169,sequential_1,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_1,50,256,2.27,21687.82421875,3108.010498046875,2939.166259765625,0.5391437493132443,0.7
2026-09-04 13:15:41,multi_repeat_random_states.py,"(1021, 9)",85,sequential_1,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_1,50,256,2.2704,108092.1484375,4634.927734375,5346.2216796875,0.26693506902446773,0.7
2026-09-04 13:15:41,multi_repeat_random_states.py,"(1021, 9)",1,sequential_1,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_1,50,256,2.2636,33574.375,3564.0390625,3411.8203125,0.4441731852683555,0.7
