time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,epochs,batch_size,train_second,first_loss,last_loss,test_loss,r2_score,train_ration,total_params
2026-09-11 13:27:37,keras28_Scaler02_diebet.py,"(132, 10)",273,sequential,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam,88,128,5.6261,34202.109375,4100.3271484375,3156.80126953125,0.45848328784313785,0.7,10673
2026-09-07 16:08:59,keras19_overfit2_diebits.py,"(132, 10)",273,sequential,Dense 35 -> 29 -> 43 -> 97 -> 52 -> 16 -> 1,mse,adam,100,32,6.6915,26113.1484375,3190.074462890625,2870.67529296875,0.5075652203308305,0.7,12948
2026-09-10 16:40:54,keras28_Scaler02_diebet.py,"(132, 10)",273,sequential,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam,239,128,13.9962,26153.61328125,3178.531982421875,2981.98388671875,0.4884714329988885,0.7,10673
2026-09-11 13:31:27,keras28_Scaler02_diebet.py,"(132, 10)",273,sequential,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam,82,128,5.2055,34114.35546875,3887.1826171875,3502.0595703125,0.39925780701875946,0.7,10673
2026-09-11 15:17:04,keras28_Scaler02_diebet.py,"(132, 10)",273,sequential,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam,77,128,5.0785,34254.9296875,4008.781494140625,3658.470458984375,0.3724271089937051,0.7,10673
2026-09-11 16:23:42,keras28_Scaler02_diebet.py,"(132, 10)",273,sequential,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam,122,128,9.6301,34065.12890625,3976.5205078125,3082.96484375,0.4711491323968401,0.7,10673
2026-09-11 16:35:56,keras28_Scaler02_diebet.py,"(132, 10)",273,sequential,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam,174,128,10.0796,34169.62890625,3755.02099609375,3045.466552734375,0.4775816307743017,0.7,10673
2026-09-14 13:34:31,keras31_MCP_save_02_diabetes.py,"(132, 10)",273,sequential,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam,140,128,12.2504,33970.234375,3734.2138671875,3014.065673828125,0.48296807611104753,0.7,10673
2026-09-14 17:18:18,keras34_hamsu02_diabetes.py,"(132, 10)",273,functional,InputLayer -> Dense 64 -> Dropout (0.3) -> Dense 16(relu) -> Dropout (0.2) -> Dense 32 -> 64 -> Dropout (0.4) -> Dense 64 -> Dropout (0.3) -> Dense 32 -> 1,mse,adam,111,128,8.9135,34137.94140625,5162.0654296875,4164.88525390625,0.2855568964797929,0.7,10673
2026-09-15 13:26:12,keras35_gpu02_diabetes.py,"(132, 10)",273,sequential,Dense 64 -> Dropout (0.3) -> Dense 16 -> Dropout (0.2) -> Dense 32 -> Dropout (0.3) -> Dense 64 -> Dropout (0.4) -> Dense 64 -> Dropout (0.3) -> Dense 32 -> Dropout (0.2) -> Dense 1,mse,adam,190,128,15.4484,34289.9375,4262.67529296875,2968.42333984375,0.49079755287747706,0.7,10673
2026-09-15 13:27:03,keras35_gpu02_diabetes.py,"(132, 10)",273,sequential,Dense 64 -> Dropout (0.3) -> Dense 16 -> Dropout (0.2) -> Dense 32 -> Dropout (0.3) -> Dense 64 -> Dropout (0.4) -> Dense 64 -> Dropout (0.3) -> Dense 32 -> Dropout (0.2) -> Dense 1,mse,Adam,180,128,7.0192,34175.92578125,4409.57568359375,3148.442626953125,0.4599171229000907,0.7,10673
2026-09-15 13:28:18,keras35_gpu02_diabetes.py,"(132, 10)",273,sequential,Dense 64 -> Dropout (0.3) -> Dense 16 -> Dropout (0.2) -> Dense 32 -> Dropout (0.3) -> Dense 64 -> Dropout (0.4) -> Dense 64 -> Dropout (0.3) -> Dense 32 -> Dropout (0.2) -> Dense 1,mse,Adam,187,128,6.9696,34222.32421875,4053.07958984375,3029.256103515625,0.4803623575595479,0.7,10673
2026-09-15 13:28:56,keras35_gpu02_diabetes.py,"(132, 10)",273,sequential,Dense 64 -> Dropout (0.3) -> Dense 16 -> Dropout (0.2) -> Dense 32 -> Dropout (0.3) -> Dense 64 -> Dropout (0.4) -> Dense 64 -> Dropout (0.3) -> Dense 32 -> Dropout (0.2) -> Dense 1,mse,adam,161,128,13.5995,34123.6640625,4202.3837890625,3340.69482421875,0.4269382086284297,0.7,10673
