time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,epochs,batch_size,train_second,first_loss,last_loss,test_loss,r2_score,train_ration,total_params
2026-09-09 16:32:36,keras23_softmax4_digitis.py,"(1437, 64)",90,sequential,Dense 256 -> 64(relu) -> 256(relu) -> 128 -> 256(relu) -> 128(relu) -> 256(relu) -> 64 -> 10(softmax),categorical_crossentropy,adam,64,128,5.8086,1.3778479099273682,2.4535407646908425e-05,"[0.10893349349498749, 0.9666666388511658]",0.9666666666666667,0.8,198666
2026-09-09 16:33:08,keras23_softmax4_digitis.py,"(1437, 64)",90,sequential,Dense 256 -> 64(relu) -> 256(relu) -> 128 -> 256(relu) -> 128(relu) -> 256(relu) -> 64 -> 10(softmax),categorical_crossentropy,adam,69,16,10.9839,0.7599201798439026,4.685666681325529e-06,"[0.11229632794857025, 0.9722222089767456]",0.9722222222222222,0.8,198666
2026-09-09 16:33:34,keras23_softmax4_digitis.py,"(1437, 64)",45769,sequential,Dense 256 -> 64(relu) -> 256(relu) -> 128 -> 256(relu) -> 128(relu) -> 256(relu) -> 64 -> 10(softmax),categorical_crossentropy,adam,83,16,13.0496,0.847244381904602,2.9828438528056722e-06,"[0.1290358006954193, 0.9861111044883728]",0.9861111111111112,0.8,198666
2026-09-09 16:34:08,keras23_softmax4_digitis.py,"(1437, 64)",45769,sequential,Dense 256 -> 64(relu) -> 256(relu) -> 128 -> 256(relu) -> 128(relu) -> 256(relu) -> 64 -> 10(softmax),categorical_crossentropy,adam,111,16,16.9005,0.7374600172042847,2.7421057779974944e-07,"[0.0833931714296341, 0.9777777791023254]",0.9777777777777777,0.8,198666
2026-09-09 16:37:50,keras23_softmax4_digitis.py,"(1437, 64)",45769,sequential,Dense 256 -> 64(relu) -> 256(relu) -> 128 -> 256(relu) -> 128(relu) -> 256(relu) -> 64 -> 10(softmax),categorical_crossentropy,adam,117,16,17.7986,0.8293260335922241,3.233885763620492e-07,"[0.11941604316234589, 0.9777777791023254]",0.9777777777777777,0.8,198666
2026-09-09 16:38:15,keras23_softmax4_digitis.py,"(1437, 64)",67548,sequential,Dense 256 -> 64(relu) -> 256(relu) -> 128 -> 256(relu) -> 128(relu) -> 256(relu) -> 64 -> 10(softmax),categorical_crossentropy,adam,126,16,18.9314,0.8280125856399536,1.208685205256188e-07,"[0.2444077581167221, 0.9555555582046509]",0.9555555555555556,0.8,198666
2026-09-09 16:38:43,keras23_softmax4_digitis.py,"(1437, 64)",34435,sequential,Dense 256 -> 64(relu) -> 256(relu) -> 128 -> 256(relu) -> 128(relu) -> 256(relu) -> 64 -> 10(softmax),categorical_crossentropy,adam,109,16,16.7766,0.6919676065444946,4.635542154574068e-07,"[0.17386075854301453, 0.949999988079071]",0.95,0.8,198666
2026-09-09 16:39:28,keras23_softmax4_digitis.py,"(1437, 64)",34435,sequential,Dense 256 -> 128(relu) -> 256(relu) -> 128 -> 256(relu) -> 128(relu) -> 256(relu) -> 64 -> 10(softmax),categorical_crossentropy,adam,118,16,18.0369,0.7439711093902588,3.525421448102861e-07,"[0.07310685515403748, 0.9833333492279053]",0.9833333333333333,0.8,231498
2026-09-09 16:39:54,keras23_softmax4_digitis.py,"(1437, 64)",34435,sequential,Dense 256 -> 128(relu) -> 256(relu) -> 128 -> 256(relu) -> 128(relu) -> 256(relu) -> 64 -> 10(softmax),categorical_crossentropy,adam,116,16,17.7525,0.6697069406509399,2.531509757375261e-08,"[0.14217820763587952, 0.9722222089767456]",0.9722222222222222,0.8,231498
2026-09-09 16:40:20,keras23_softmax4_digitis.py,"(1437, 64)",99,sequential,Dense 256 -> 128(relu) -> 256(relu) -> 128 -> 256(relu) -> 128(relu) -> 256(relu) -> 64 -> 10(softmax),categorical_crossentropy,adam,105,16,16.3051,0.7639980912208557,1.1443633951557786e-07,"[0.11747874319553375, 0.9722222089767456]",0.9722222222222222,0.8,231498
