time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,epochs,batch_size,train_second,first_loss,last_loss,test_loss,r2_score,train_ration,total_params
2026-09-04 17:05:38,keras14_kaggle_bike1.py,"(3265, 10)",9587,sequential,Dense 16(relu) -> 64 -> 16(relu) -> 32 -> 64 -> 64(relu) -> 32(relu) -> 1,mse,adam,100,128,5.7692,35198.109375,24886.078125,27490.77734375,0.1533602476119995,0.7
2026-09-04 17:06:06,keras14_kaggle_bike1.py,"(3265, 10)",9587,sequential,Dense 16(relu) -> 64 -> 16(relu) -> 32 -> 64 -> 64(relu) -> 32(relu) -> 1,mse,adam,100,128,5.9754,41574.96484375,25022.421875,24369.365234375,0.24949079751968384,0.7
2026-09-04 17:12:11,keras14_kaggle_bike1.py,"(3265, 10)",9587,sequential,Dense 16(relu) -> 64 -> 16(relu) -> 32 -> 64 -> 64(relu) -> 32(relu) -> 1,mse,adam,100,128,6.3377,42677.5,24813.759765625,24209.572265625,0.2544119954109192,0.7
2026-09-04 17:12:44,keras14_kaggle_bike1.py,"(3265, 10)",9587,sequential,Dense 32(relu) -> 64 -> 128(relu) -> 32 -> 64 -> 128(relu) -> 32(relu) -> 1,mse,adam,100,128,6.179,35977.578125,24593.087890625,25115.708984375,0.22650575637817383,0.7
2026-09-04 17:19:07,keras14_kaggle_bike1.py,"(3265, 10)",675,sequential,Dense 32(relu) -> 64 -> 128(relu) -> 32 -> 64 -> 128(relu) -> 32(relu) -> 1,mse,adam,100,128,6.1365,38755.6484375,24811.228515625,25777.37109375,0.21883076429367065,0.7
2026-09-04 17:34:48,keras14_kaggle_bike1.py,"(3265, 8)",675,sequential,Dense 32(relu) -> 64 -> 128(relu) -> 32 -> 64 -> 128(relu) -> 32(relu) -> 1,mse,adam,100,128,5.9823,43573.76171875,22424.4921875,23327.39453125,0.29307591915130615,0.7,29441
2026-09-07 09:38:55,keras14_kaggle_bike1.py,"(3265, 8)",675,sequential,Dense 128(relu) -> 32 -> 16(relu) -> 128 -> 64(relu) -> 64(relu) -> 1,mse,adam,100,128,5.8064,51132.99609375,23267.291015625,23433.58984375,0.28985750675201416,0.7,20465
2026-09-07 09:39:22,keras14_kaggle_bike1.py,"(3265, 8)",869,sequential,Dense 128(relu) -> 32 -> 16(relu) -> 128 -> 64(relu) -> 64(relu) -> 1,mse,adam,100,128,5.8804,47945.52734375,21967.49609375,23361.912109375,0.29827678203582764,0.7,20465
2026-09-07 09:42:09,keras14_kaggle_bike1.py,"(3265, 8)",59843,sequential,Dense 128(relu) -> 32(relu) -> 16(relu) -> 128(relu) -> 64(relu) -> 64(relu) -> 1,mse,adam,600,128,31.09,54362.6484375,17862.087890625,24864.06640625,0.24090898036956787,0.7,20465
2026-09-07 09:42:51,keras14_kaggle_bike1.py,"(3265, 10)",59843,sequential,Dense 128(relu) -> 32(relu) -> 16(relu) -> 128(relu) -> 64(relu) -> 64(relu) -> 1,mse,adam,600,128,30.9853,38938.41015625,22482.896484375,23226.6796875,0.29089778661727905,0.7,20721
2026-09-07 09:43:47,keras14_kaggle_bike1.py,"(3265, 10)",8674,sequential,Dense 128(relu) -> 32(relu) -> 16(relu) -> 128(relu) -> 64(relu) -> 64(relu) -> 1,mse,adam,600,128,31.0804,38439.5234375,22032.232421875,23269.26953125,0.2989344596862793,0.7,20721
2026-09-07 09:46:31,keras14_kaggle_bike1.py,"(3265, 10)",8674,sequential,Dense 128(relu) -> 32(relu) -> 16(relu) -> 128(relu) -> 64(relu) -> 64(relu) -> 1,mse,adam,700,128,35.8455,33454.43359375,22071.146484375,23674.7421875,0.28671830892562866,0.7,20721
2026-09-07 10:35:57,keras15_verbose.py,"(7,)",-1,sequential,Dense 3 -> 7 -> 5 -> 2 -> 1,mse,adam,100,4,3.0953,3.519395112991333,0.002130440203472972,0.007260121870785952,0,0.7,89
2026-09-07 10:36:59,keras15_verbose.py,"(7,)",-1,sequential,Dense 3 -> 7 -> 5 -> 2 -> 1,mse,adam,100,4,3.1231,22.72530174255371,0.03489821031689644,0.14342421293258667,0.7848637104034424,0.7,89
2026-09-07 11:09:03,keras16_validation1.py,"(6,)",-1,sequential,Dense 3 -> 7 -> 5 -> 2 -> 1,mse,adam,100,4,6.0294,15.097533226013184,0.10243643075227737,0.9084768295288086,-2.6339073181152344,0.7,89
