time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,epochs,batch_size,train_second,first_loss,last_loss,test_loss,r2_score,train_ration,total_params
2026-09-14 10:33:31,multi_optuna_model.py,"(7620, 13)",90,Optuna_Trial_0,Dense 32 -> 128(gelu) -> 32 -> 256(gelu) -> 32 -> 64 -> 256 -> 256(relu) -> 1,mse,adam,20,32,9.0694,16371.994140625,2794.9990234375,2794.9990234375,0.9141049385070801,0.7,110273
2026-09-14 10:33:41,multi_optuna_model.py,"(7620, 13)",90,Optuna_Trial_1,Dense 256 -> 256(silu) -> 256(relu) -> 32 -> 128 -> 32(gelu) -> 64(relu) -> 128(gelu) -> 1,mse,adam_1,20,32,9.812,14687.8505859375,2763.227783203125,2763.227783203125,0.9150813221931458,0.7,162305
2026-09-14 10:33:50,multi_optuna_model.py,"(7620, 13)",90,Optuna_Trial_2,Dense 64(gelu) -> 32(relu) -> 64(silu) -> 64(relu) -> 32(silu) -> 32(silu) -> 256 -> 64(silu) -> 1,mse,adam_2,20,32,9.0167,18771.626953125,2280.682861328125,2280.682861328125,0.9299107789993286,0.7,37345
2026-09-14 10:34:00,multi_optuna_model.py,"(7620, 13)",90,Optuna_Trial_3,Dense 64(relu) -> 128(silu) -> 64(relu) -> 32(gelu) -> 128(relu) -> 128(relu) -> 256(relu) -> 256 -> 1,mse,adam_3,20,32,9.3284,18002.7109375,2615.822509765625,2615.822509765625,0.9196113348007202,0.7,139361
2026-09-14 10:34:10,multi_optuna_model.py,"(7620, 13)",90,Optuna_Trial_4,Dense 128(silu) -> 256(gelu) -> 64(silu) -> 32(relu) -> 128 -> 64 -> 32(relu) -> 64(gelu) -> 1,mse,adam_4,20,32,9.1197,13991.3349609375,2174.5478515625,2174.5478515625,0.9331724643707275,0.7,70081
2026-09-14 10:34:18,multi_optuna_model.py,"(7620, 13)",90,Optuna_Trial_5,Dense 32(gelu) -> 32(relu) -> 64(gelu) -> 128(relu) -> 64(silu) -> 64 -> 256(relu) -> 64 -> 1,mse,adam_5,20,32,8.3832,17081.40625,2676.270751953125,2676.270751953125,0.9177536368370056,0.7,57505
2026-09-14 10:34:29,multi_optuna_model.py,"(7620, 13)",90,Optuna_Trial_6,Dense 32(gelu) -> 128(silu) -> 256(gelu) -> 32(relu) -> 128(relu) -> 32(silu) -> 128(silu) -> 256(silu) -> 1,mse,adam_6,20,32,10.2406,18231.51171875,2095.453125,2095.453125,0.935603141784668,0.7,91777
2026-09-14 10:34:40,multi_optuna_model.py,"(7620, 13)",90,Optuna_Trial_7,Dense 64 -> 32(relu) -> 128(relu) -> 128(gelu) -> 256(gelu) -> 128(silu) -> 256 -> 256 -> 1,mse,adam_7,20,32,10.2152,13967.3671875,2368.635009765625,2368.635009765625,0.9272078275680542,0.7,188705
2026-09-14 10:34:49,multi_optuna_model.py,"(7620, 13)",90,Optuna_Trial_8,Dense 128(gelu) -> 256(relu) -> 64(silu) -> 64(relu) -> 64 -> 32 -> 32(gelu) -> 32(silu) -> 1,mse,adam_8,20,32,8.9362,17416.16796875,2249.774658203125,2249.774658203125,0.9308605790138245,0.7,63809
2026-09-14 10:34:59,multi_optuna_model.py,"(7620, 13)",90,Optuna_Trial_9,Dense 128(silu) -> 64(relu) -> 32(gelu) -> 32(silu) -> 32(silu) -> 64(gelu) -> 64 -> 256(silu) -> 1,mse,adam_9,20,32,9.5688,16413.533203125,2887.91357421875,2887.91357421875,0.9112495183944702,0.7,37409
2026-09-14 10:35:10,multi_optuna_model.py,"(7620, 13)",90,Optuna_Trial_10,Dense 32(gelu) -> 128(silu) -> 256(gelu) -> 256(relu) -> 128 -> 32(silu) -> 64(gelu) -> 256(silu) -> 1,mse,adam_10,20,32,10.7023,16034.40625,2272.920166015625,2272.920166015625,0.9301493167877197,0.7,159521
2026-09-14 10:35:20,multi_optuna_model.py,"(7620, 13)",90,Optuna_Trial_11,Dense 64(silu) -> 256(gelu) -> 32(silu) -> 128(relu) -> 128 -> 128(relu) -> 32(relu) -> 64(gelu) -> 1,mse,adam_11,20,32,9.2429,15635.1123046875,2221.360595703125,2221.360595703125,0.9317338466644287,0.7,69313
2026-09-14 10:35:29,multi_optuna_model.py,"(7620, 13)",90,Optuna_Trial_12,Dense 32(gelu) -> 128(relu) -> 256(gelu) -> 32(relu) -> 128(relu) -> 32(relu) -> 128(silu) -> 128 -> 1,mse,adam_12,20,32,8.8962,20268.345703125,2268.158447265625,2268.158447265625,0.9302956461906433,0.7,75137
2026-09-14 10:35:39,multi_optuna_model.py,"(7620, 13)",90,Optuna_Trial_13,Dense 128(silu) -> 256(gelu) -> 64(gelu) -> 32(relu) -> 32 -> 256 -> 32(relu) -> 64(gelu) -> 1,mse,adam_13,20,32,9.0441,14953.4453125,2681.273681640625,2681.273681640625,0.9175999164581299,0.7,73249
2026-09-14 10:35:49,multi_optuna_model.py,"(7620, 13)",90,Optuna_Trial_14,Dense 256(relu) -> 128(silu) -> 128(silu) -> 32(relu) -> 128(relu) -> 32(silu) -> 32(silu) -> 256(silu) -> 1,mse,adam_14,20,32,10.2569,17510.77734375,2122.36328125,2122.36328125,0.9347761869430542,0.7,75233
2026-09-14 10:36:00,multi_optuna_model.py,"(7620, 13)",90,Optuna_Trial_15,Dense 256(relu) -> 256(silu) -> 128(relu) -> 32(relu) -> 256(relu) -> 32(relu) -> 32(silu) -> 32(silu) -> 1,mse,adam_15,20,32,10.2782,18791.048828125,2071.391357421875,2071.391357421875,0.9363426566123962,0.7,125217
2026-09-14 10:36:11,multi_optuna_model.py,"(7620, 13)",90,Optuna_Trial_16,Dense 256(relu) -> 256(silu) -> 128(relu) -> 256(silu) -> 64(gelu) -> 32(relu) -> 32(silu) -> 32(silu) -> 1,mse,adam_16,20,32,10.7073,18638.5,2118.16650390625,2118.16650390625,0.9349051713943481,0.7,155969
2026-09-14 10:36:22,multi_optuna_model.py,"(7620, 13)",90,Optuna_Trial_17,Dense 256(gelu) -> 128 -> 64(gelu) -> 32(relu) -> 128(silu) -> 32(silu) -> 128(silu) -> 64(silu) -> 1,mse,adam_17,20,32,9.9118,20593.494140625,2485.276611328125,2485.276611328125,0.923623263835907,0.7,67713
2026-09-14 10:36:32,multi_optuna_model.py,"(7620, 13)",90,Optuna_Trial_18,Dense 256(relu) -> 64(silu) -> 128(gelu) -> 32(relu) -> 256(relu) -> 64(relu) -> 256(gelu) -> 32(silu) -> 1,mse,adam_18,20,32,9.5875,15433.96484375,1945.9957275390625,1945.9957275390625,0.9401962757110596,0.7,82273
