time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,epochs,batch_size,train_second,first_loss,last_loss,test_loss,r2_score,train_ration,total_params
2026-09-08 16:28:39,multi_repeat_random_states.py,"(140000, 200)",168,sequential,Dense 128 -> 32 -> 64(relu) -> 128(relu) -> 64(relu) -> 64 -> 32 -> 1(sigmoid),binary_crossentropy,adam,41,256,68.0389,0.30595800280570984,0.2007780820131302,"[0.24154263734817505, 0.9112833142280579]",0.9112833333333333,0.7,54817
2026-09-08 16:28:39,multi_repeat_random_states.py,"(140000, 200)",0,sequential,Dense 128 -> 32 -> 64(relu) -> 128(relu) -> 64(relu) -> 64 -> 32 -> 1(sigmoid),binary_crossentropy,adam,40,256,67.1583,0.31212055683135986,0.20148752629756927,"[0.24976390600204468, 0.9085833430290222]",0.9085833333333333,0.7,54817
2026-09-08 16:28:41,multi_repeat_random_states.py,"(140000, 200)",84,sequential,Dense 128 -> 32 -> 64(relu) -> 128(relu) -> 64(relu) -> 64 -> 32 -> 1(sigmoid),binary_crossentropy,adam,45,256,70.5901,0.3022126257419586,0.1971382200717926,"[0.24518780410289764, 0.9087499976158142]",0.90875,0.7,54817
2026-09-08 16:29:08,multi_repeat_random_states.py,"(140000, 200)",0,sequential,Dense 128 -> 32 -> 64(relu) -> 128(relu) -> 64(relu) -> 64 -> 32 -> 1(sigmoid),binary_crossentropy,adam,31,256,25.9273,0.2418714016675949,0.20095427334308624,"[0.2488154023885727, 0.9082833528518677]",0.9082833333333333,0.7,54817
2026-09-08 16:29:09,multi_repeat_random_states.py,"(140000, 200)",168,sequential,Dense 128 -> 32 -> 64(relu) -> 128(relu) -> 64(relu) -> 64 -> 32 -> 1(sigmoid),binary_crossentropy,adam,34,256,27.851,0.23828576505184174,0.19543327391147614,"[0.243193119764328, 0.9108999967575073]",0.9109,0.7,54817
2026-09-08 16:29:12,multi_repeat_random_states.py,"(140000, 200)",84,sequential,Dense 128 -> 32 -> 64(relu) -> 128(relu) -> 64(relu) -> 64 -> 32 -> 1(sigmoid),binary_crossentropy,adam,34,256,27.9002,0.2324410378932953,0.19149479269981384,"[0.2475753277540207, 0.9085999727249146]",0.9086,0.7,54817
2026-09-08 16:29:40,multi_repeat_random_states.py,"(140000, 200)",84,sequential,Dense 128 -> 32 -> 64(relu) -> 128(relu) -> 64(relu) -> 64 -> 32 -> 1(sigmoid),binary_crossentropy,adam,33,256,25.6159,0.22528912127017975,0.18894337117671967,"[0.2515939772129059, 0.9069166779518127]",0.9069166666666667,0.7,54817
2026-09-08 16:29:41,multi_repeat_random_states.py,"(140000, 200)",168,sequential,Dense 128 -> 32 -> 64(relu) -> 128(relu) -> 64(relu) -> 64 -> 32 -> 1(sigmoid),binary_crossentropy,adam,37,256,28.8985,0.23055988550186157,0.18678471446037292,"[0.2432287633419037, 0.9103000164031982]",0.9103,0.7,54817
2026-09-08 16:29:43,multi_repeat_random_states.py,"(140000, 200)",0,sequential,Dense 128 -> 32 -> 64(relu) -> 128(relu) -> 64(relu) -> 64 -> 32 -> 1(sigmoid),binary_crossentropy,adam,39,256,32.7768,0.23944729566574097,0.18917621672153473,"[0.24928386509418488, 0.9078166484832764]",0.9078166666666667,0.7,54817
2026-09-08 16:31:11,multi_repeat_random_states.py,"(140000, 200)",0,sequential,Dense 128 -> 32 -> 64(relu) -> 128(relu) -> 64(relu) -> 64 -> 32 -> 1(sigmoid),binary_crossentropy,adam,37,256,35.2017,0.3141202926635742,0.21016034483909607,"[0.24489757418632507, 0.9112499952316284]",0.91125,0.7,54817
2026-09-08 16:31:14,multi_repeat_random_states.py,"(140000, 200)",168,sequential,Dense 128 -> 32 -> 64(relu) -> 128(relu) -> 64(relu) -> 64 -> 32 -> 1(sigmoid),binary_crossentropy,adam,40,256,38.0598,0.32793304324150085,0.20928002893924713,"[0.2447279989719391, 0.9108499884605408]",0.91085,0.7,54817
2026-09-08 16:31:15,multi_repeat_random_states.py,"(140000, 200)",84,sequential,Dense 128 -> 32 -> 64(relu) -> 128(relu) -> 64(relu) -> 64 -> 32 -> 1(sigmoid),binary_crossentropy,adam,41,256,39.4246,0.31055399775505066,0.20189844071865082,"[0.24537278711795807, 0.9092666506767273]",0.9092666666666667,0.7,54817
2026-09-08 16:31:45,multi_repeat_random_states.py,"(140000, 200)",0,sequential,Dense 128 -> 32 -> 64(relu) -> 128(relu) -> 64(relu) -> 64 -> 32 -> 1(sigmoid),binary_crossentropy,adam,33,256,30.8306,0.2493123561143875,0.20571984350681305,"[0.24336029589176178, 0.9111499786376953]",0.91115,0.7,54817
2026-09-08 16:31:48,multi_repeat_random_states.py,"(140000, 200)",84,sequential,Dense 128 -> 32 -> 64(relu) -> 128(relu) -> 64(relu) -> 64 -> 32 -> 1(sigmoid),binary_crossentropy,adam,32,256,29.8649,0.24043850600719452,0.19720615446567535,"[0.24574939906597137, 0.910016655921936]",0.9100166666666667,0.7,54817
2026-09-08 16:31:52,multi_repeat_random_states.py,"(140000, 200)",168,sequential,Dense 128 -> 32 -> 64(relu) -> 128(relu) -> 64(relu) -> 64 -> 32 -> 1(sigmoid),binary_crossentropy,adam,38,256,35.0836,0.24504244327545166,0.1998974084854126,"[0.24356216192245483, 0.9106666445732117]",0.9106666666666666,0.7,54817
2026-09-08 16:32:23,multi_repeat_random_states.py,"(140000, 200)",84,sequential,Dense 128 -> 32 -> 64(relu) -> 128(relu) -> 64(relu) -> 64 -> 32 -> 1(sigmoid),binary_crossentropy,adam,34,256,32.4556,0.2365918904542923,0.19113756716251373,"[0.24821485579013824, 0.9088500142097473]",0.90885,0.7,54817
2026-09-08 16:32:24,multi_repeat_random_states.py,"(140000, 200)",0,sequential,Dense 128 -> 32 -> 64(relu) -> 128(relu) -> 64(relu) -> 64 -> 32 -> 1(sigmoid),binary_crossentropy,adam,38,256,36.3007,0.24158520996570587,0.19332629442214966,"[0.24513740837574005, 0.9085500240325928]",0.90855,0.7,54817
2026-09-08 16:32:25,multi_repeat_random_states.py,"(140000, 200)",168,sequential,Dense 128 -> 32 -> 64(relu) -> 128(relu) -> 64(relu) -> 64 -> 32 -> 1(sigmoid),binary_crossentropy,adam,32,256,30.7206,0.23240724205970764,0.19665782153606415,"[0.24686095118522644, 0.9094499945640564]",0.90945,0.7,54817
