time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,epochs,batch_size,train_second,first_loss,last_loss,test_loss,r2_score,train_ration,total_params
2026-09-09 15:10:54,keras23_sorfmax2_wine.py,"(142, 13)",425,sequential,Dense 16(relu) -> 32(relu) -> 128(relu) -> 128(relu) -> 3(softmax),categorical_crossentropy,adam,111,8,8.6155,6.025204658508301,0.1244521290063858,"[0.20909065008163452, 0.8888888955116272]",0.8888888888888888,0.8,21891
2026-09-09 15:11:13,keras23_sorfmax2_wine.py,"(142, 13)",425,sequential,Dense 16(relu) -> 32(relu) -> 128(relu) -> 128(relu) -> 3(softmax),categorical_crossentropy,adam,95,8,7.9433,6.112584590911865,0.38292789459228516,"[0.455431193113327, 0.8055555820465088]",0.8055555555555556,0.8,21891
2026-09-09 15:12:26,keras23_sorfmax2_wine.py,"(142, 13)",425,sequential,Dense 16(relu) -> 32(relu) -> 128(relu) -> 128 -> 128(relu) -> 64 -> 32(relu) -> 64 -> 128 -> 512(relu) -> 128(relu) -> 54 -> 128(relu) -> 16 -> 3(softmax),categorical_crossentropy,adam,60,8,6.6042,4.965165138244629,0.5624579191207886,"[0.8147349953651428, 0.5]",0.5,0.8,206617
2026-09-09 15:13:40,keras23_sorfmax2_wine.py,"(142, 13)",425,sequential,Dense 16(relu) -> 32(relu) -> 128(relu) -> 64 -> 32(relu) -> 64 -> 128 -> 512(relu) -> 54 -> 3(softmax),categorical_crossentropy,adam,51,8,5.2623,21.666255950927734,0.5973796248435974,"[0.7280290126800537, 0.5]",0.5,0.8,119675
2026-09-09 15:14:13,keras23_sorfmax2_wine.py,"(142, 13)",425,sequential,Dense 16(relu) -> 32(relu) -> 128(relu) -> 128(relu) -> 3(softmax),categorical_crossentropy,adam,91,8,7.6574,14.004020690917969,0.1749260127544403,"[0.43152695894241333, 0.8333333134651184]",0.8333333333333334,0.8,21891
2026-09-09 15:14:35,keras23_sorfmax2_wine.py,"(142, 13)",425,sequential,Dense 16(relu) -> 32(relu) -> 128(relu) -> 128(relu) -> 3(softmax),categorical_crossentropy,adam,44,8,3.8868,5.931623458862305,1.5520011186599731,"[1.2060868740081787, 0.5555555820465088]",0.5555555555555556,0.8,21891
2026-09-09 15:15:30,keras23_sorfmax2_wine.py,"(142, 13)",425,sequential,Dense 16(relu) -> 32(relu) -> 128(relu) -> 128(relu) -> 128(relu) -> 32(relu) -> 64(relu) -> 3(softmax),categorical_crossentropy,adam,361,8,28.2157,4.92011833190918,0.052949365228414536,"[0.2067008912563324, 0.8888888955116272]",0.8888888888888888,0.8,44451
2026-09-09 15:16:43,keras23_sorfmax2_wine.py,"(142, 13)",90,sequential,Dense 32(relu) -> 128(relu) -> 128(relu) -> 128(relu) -> 32(relu) -> 64(relu) -> 3(softmax),categorical_crossentropy,adam,240,8,18.348,3.6766867637634277,0.13588492572307587,"[0.11001146584749222, 0.9444444179534912]",0.9444444444444444,0.8,44131
2026-09-09 15:19:40,keras23_sorfmax2_wine.py,"(142, 13)",90,sequential,Dense 32(relu) -> 128(relu) -> 128(relu) -> 128(relu) -> 32(relu) -> 64(relu) -> 3(softmax),categorical_crossentropy,adam,1334,8,94.9726,4.504793643951416,0.04206940531730652,"[0.058708932250738144, 0.9722222089767456]",0.9722222222222222,0.8,44131
2026-09-09 16:12:52,keras23_sorfmax2_wine.py,"(142, 13)",90,sequential,Dense 32(relu) -> 128(relu) -> 128(relu) -> 128 -> 32(relu) -> 64(relu) -> 3(softmax),categorical_crossentropy,adam,742,8,54.0101,3.4812588691711426,0.09388835728168488,"[0.1756080836057663, 0.9444444179534912]",0.9444444444444444,0.8,44131
2026-09-09 16:14:18,keras23_sorfmax2_wine.py,"(142, 13)",90,sequential,Dense 32(relu) -> 128(relu) -> 128(relu) -> 128 -> 32(relu) -> 64(relu) -> 3(softmax),categorical_crossentropy,adam,1018,16,65.4486,16.33006477355957,0.1785040944814682,"[0.06917544454336166, 0.9722222089767456]",0.9722222222222222,0.8,44131
2026-09-10 16:59:28,keras28_Scaler08_wine.py,"(142, 13)",90,sequential,Dense 32(relu) -> 128(relu) -> 128(relu) -> 128 -> 32(relu) -> 64(relu) -> 3(softmax),categorical_crossentropy,adam,3132,16,199.6659,1.057862401008606,0.0,"[0.05304022133350372, 0.9722222089767456]",0.9722222222222222,0.8,44131
2026-09-11 14:16:39,keras28_Scaler08_wine.py,"(142, 13)",90,sequential,Dense 32(relu) -> 128(relu) -> 128(relu) -> 128 -> 32(relu) -> 64(relu) -> 3(softmax),categorical_crossentropy,adam,74,16,5.5752,0.9708198308944702,0.1088448166847229,"[0.014360520988702774, 1.0]",1.0,0.8,44131
2026-09-11 15:21:49,keras28_Scaler08_wine.py,"(142, 13)",90,sequential,Dense 32(relu) -> 128(relu) -> 128(relu) -> 128 -> 32(relu) -> 64(relu) -> 3(softmax),categorical_crossentropy,adam,127,16,9.146,1.0390746593475342,0.14080844819545746,"[0.07381029427051544, 0.9722222089767456]",0.9722222222222222,0.8,44131
2026-09-11 16:22:13,keras28_Scaler08_wine.py,"(142, 13)",90,sequential,Dense 32(relu) -> 128(relu) -> 128(relu) -> 128 -> 32(relu) -> 64(relu) -> 3(softmax),categorical_crossentropy,adam,96,16,9.4789,0.8145247101783752,0.023235294967889786,"[0.07369414716959, 0.9722222089767456]",0.9722222222222222,0.8,44131
